city,link,poi_count,id
景德镇,/travel-scenic-spot/mafengwo/10589.html,213,10589.0
庐山,/travel-scenic-spot/mafengwo/10244.html,184,10244.0
三清山,/travel-scenic-spot/mafengwo/11465.html,110,11465.0
南昌,/travel-scenic-spot/mafengwo/11754.html,476,11754.0
北戴河,/travel-scenic-spot/mafengwo/10209.html,146,10209.0
秦皇岛,/travel-scenic-spot/mafengwo/11499.html,707,11499.0
承德,/travel-scenic-spot/mafengwo/10432.html,681,10432.0
张北,/travel-scenic-spot/mafengwo/11386.html,104,11386.0
少林寺,/travel-scenic-spot/mafengwo/10449.html,-1,10449.0
洛阳,/travel-scenic-spot/mafengwo/10094.html,899,10094.0
龙门石窟,/travel-scenic-spot/mafengwo/10632.html,-1,10632.0
呼伦贝尔,/travel-scenic-spot/mafengwo/10774.html,604,10774.0
,/travel-scenic-spot/mafengwo/.html,0,
阿尔山,/travel-scenic-spot/mafengwo/10390.html,71,10390.0
海拉尔,/travel-scenic-spot/mafengwo/10414.html,46,10414.0
,/travel-scenic-spot/mafengwo/.html,0,
哈尔滨,/travel-scenic-spot/mafengwo/10068.html,1346,10068.0
漠河,/travel-scenic-spot/mafengwo/10427.html,110,10427.0
雪乡,/travel-scenic-spot/mafengwo/10127.html,-1,10127.0
大连,/travel-scenic-spot/mafengwo/10301.html,1475,10301.0
丹东,/travel-scenic-spot/mafengwo/10584.html,396,10584.0
盘锦,/travel-scenic-spot/mafengwo/10728.html,149,10728.0
